métier,Compétences
Conception - développement produits d'assurances (C1101),"analyser les données du marché/secteur de l'assurance,identifier les besoins des clients par des études auprès des agences commerciales,proposer des axes de développement de produits selon leur rentabilité en concertation avec les services actuariat, financier, ...,définir la cible, les tarifs et garanties de nouveaux produits et organiser le plan de lancement,elaborer les campagnes publicitaires, promotionnelles des nouveaux produits auprès du réseau de distribution ou de clients,suivre et analyser les résultats des ventes et proposer des ajustements,apporter un appui commercial et technique à des collaborateurs"
Conseil clientèle en assurances (C1102),"analyser les besoins en assurance du client et l'informer sur les produits proposés,développer un portefeuille de clients/prospects,arrêter les termes du contrat d'assurance avec le client (montant des cotisations, type de garanties, ...), rassembler les justificatifs et transmettre pour décision,mettre à jour le contrat d'assurance du client et renseigner les documents de suivi,conseiller le client sur des produits/services d'assurance (caractéristiques, tarifs, garanties, ...) ou sur le suivi du contrat (renouvellement, échéances, ...)"
Courtage en assurances (C1103),"mettre en oeuvre des actions commerciales selon la stratégie du cabinet ou de la compagnie d'assurances,evaluer les besoins et attentes du client (risque à couvrir, type de garantie, ...) et le conseiller sur le choix du contrat approprié (extension de garantie, nouveau contrat, ...),etablir une proposition de contrat (garanties, primes, ...) et informer le client sur les clauses spécifiques,vérifier la conformité d'une déclaration de sinistre, évaluer le montant des pertes en matériels, locaux, chiffre d'affaires, ... et les responsabilités des parties,actualiser les contrats selon l'évolution de la situation de la clientèle et mettre à jour les dossiers clients,apporter un appui commercial et technique à des collaborateurs (traitement de dossiers complexes, litigieux, ...)"
Direction d'exploitation en assurances (C1104),"définir une stratégie commerciale,définir/suivre les indicateurs d'activité de l'équipe et prendre les mesures correctives (réajustement des objectifs individuels, ...),contrôler les procédures et les délais de traitement des contrats, des sinistres et mettre en oeuvre les mesures d'ajustement,réaliser une veille qualité des souscriptions (réglementation, rapport besoin/garantie, ...) et appliquer les mesures rectificatives,développer un réseau de partenaires et suivre les informations sectorielles, règlementaires, techniques et celles des médias,effectuer la gestion comptable et administrative d'une structure"
Études actuarielles en assurances (C1105),"proposer des axes d'amélioration de gestion (fusion/acquisition, achat / vente de valeurs mobilières, ...) à l'entreprise,réaliser des études (techniques, financières, statistiques, ...) et calculer l’impact des risques financiers,procéder à des modélisations et définir les conditions de rentabilité économique et financière des contrats.,élaborer les règles et barèmes de tarification applicable à chaque catégorie de risques et proposer des tarifs pour les nouveaux produits.,analyser les tarifs et la rentabilité des produits commercialisés et évaluer les tendances des risques par garantie et sinistre.,établir l'inventaire périodique d'une partie ou de la globalité du portefeuille de contrats (produits d'épargne, produits d'assurances)"
Expertise risques en assurances (C1106),"identifier les secteurs (industries, grande distribution, ...) et les entreprises/collectivités à prospecter selon les études statistiques sur les sinistres, ...,analyser la situation du client et cerner ses besoins en assurances,répertorier les biens (bâtiments, machines, stocks, ...) et les installations (électriques, chauffage, ...) lors de visites/audit des sites,recenser les moyens de protection/prévention des risques sur le site et contrôler l'application de la réglementation sécurité,diagnostiquer la nature des risques et estimer le montant des pertes en cas de sinistre sur le site,emettre des préconisations sur la prévention des risques et en assister la mise en oeuvre par l'assistance à la maîtrise d'oeuvre, visites de contrôle, ...,rechercher les causes/origines d'accidents ou de sinistres par des enquêtes sur le terrain, auprès des parties concernées"
Indemnisations en assurances (C1107),"vérifier les garanties et les couvertures prévues dans les contrats d'assurances lors de déclaration de sinistre,recueillir les preuves, témoignages et rapports de police auprès des parties impliquées dans le sinistre (victimes, témoins, services de secours, ...),analyser l'origine, la cause et les circonstances du sinistre et définir les responsabilités respectives des parties,appliquer le barème des sinistres corporels selon le régime d'indemnisation des préjudices,emettre une proposition d'indemnisation aux assurés, la réajuster si nécessaire et procéder au règlement,établir un rapport de suivi du sinistre et transmettre les informations aux interlocuteurs concernés ( assurés, compagnie d'assurance…),mandater des experts pour l'évaluation de dommages/de pertes dans les domaines de l'automobile, le médical, l'artistique, ..."
Management de groupe et de service en assurances (C1108),"définir et mettre en oeuvre l'organisation des activités du service, du département,définir et mettre en place les procédures de traitement des dossiers (délais, réglementation, ...),elaborer ou mettre à jour les outils de suivi qualitatif et quantitatif de l'activité,prendre les mesures correctives selon l'évaluation de l'activité du service, groupe, département,gérer les dossiers complexes (constatation de sinistres sur le terrain, évaluation de risques pour une souscription, ...),traiter les réclamations des clients (attributions de remise tarifaire, rappel de la réglementation, ...),apporter un appui technique, une expertise à des collaborateurs (gestionnaire de contrats, conseiller en assurances, ...)"
Rédaction et gestion en assurances (C1109),"etablir les contrats d'assurances ou les avenants en fonction des risques à couvrir, des évènements survenus (accident responsable, ...) et transmettre pour acceptation,informer le client sur la prise en charge de son dossier et le conseiller dans ses démarches d'expertise, de dépôt de plainte, ...,enregistrer les informations (souscription, déclaration de sinistre, ...) dans le fichier de l'assuré/tiers et lui transmettre les documents contractuels ou justificatifs,demander des informations complémentaires (attestations de soins, bulletins de salaire,...) ou des mesures conservatrices (expertise, questionnaire de santé, ...)"
Souscription d'assurances (C1110),"evaluer les facteurs de risques, le niveau de sinistrabilité de l'environnement du client et comparer les garanties souscrites,définir les modalités de souscription, élaborer un projet de contrat et le soumettre au client ou à l'intermédiaire,intervenir en appui technique aux collaborateurs (conseillers en assurances, ...) lors de la négociation des contrats,analyser les évolutions des contrats, les risques couverts, les niveaux d'indemnisation, la rentabilité des produits d'assurances et ajuster la tarification,elaborer les documents d'information à destination des clients et/ou des collaborateurs,analyser la situation du client et cerner ses besoins en assurances"
Accueil et services bancaires (C1201),"accueillir les clients et identifier leur demande ( informations, administration de comptes,…) et orienter la clientèle vers le service compétent,effectuer les opérations bancaires courantes du guichet (dépôt, retrait d'espèces, remise de chèques, délivrance de chéquiers, cartes bancaires,...),informer le client sur les services/produits (placements, assurance vie, ...) selon son niveau de salaire, son épargne et ses projets,sensibiliser les clients à l'utilisation des automates et des services à distance et les assister,actualiser l'affichage publicitaire (affiches, dépliants, ...) ou celui des taux de change,classer les documents et produits (cartes bancaires, chéquiers, lettres recommandées, ...) et les délivrer après vérification de l'identité"
