job_name,appellations,identité,compétences
Conception - développement produits d'assurances (C1101),"Chargé / Chargée de produit en assurances
Chef de produit assurance épargne retraite
Chef de produit assurance vie
Chef de produit en assurances
Concepteur développeur / Conceptrice développeuse de produits d'assurances
Responsable de produit en assurance Incendie, Accidents, Risques Divers -IARD-","DÉFINITION
Conçoit et adapte de nouveaux produits d'assurances. Organise leur diffusion auprès du réseau de vente (agences commerciales, agents généraux d'assurances, courtiers en assurances, ...) selon la réglementation de l'assurance et la stratégie commerciale de l'établissement.
Participe à l’élaboration la stratégie commerciale globale de l'établissement.
Peut réaliser des études techniques et actuarielles dans le cadre de la conception de produits d'assurances.
Peut coordonner une ou plusieurs équipe(s).
ACCÈS À L'EMPLOI MÉTIER

CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Analyser les données du marché/secteur de l'assurance
Identifier les besoins des clients par des études auprès des agences commerciales
Proposer des axes de développement de produits selon leur rentabilité en concertation avec les services actuariat, financier, ...
Définir la cible, les tarifs et garanties de nouveaux produits et organiser le plan de lancement
Elaborer les campagnes publicitaires, promotionnelles des nouveaux produits auprès du réseau de distribution ou de clients
Suivre et analyser les résultats des ventes et proposer des ajustements
Apporter un appui commercial et technique à des collaborateurs
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Conseil clientèle en assurances (C1102),"Agent commercial / Agente commerciale en assurances
Attaché / Attachée de clientèle en assurances
Chargé / Chargée de clientèle centre d'appels en assurances
Chargé / Chargée de clientèle en assurances
Collaborateur commercial / Collaboratrice commerciale en assurances
Conseiller / Conseillère clientèle en assurances
Conseiller / Conseillère en assurance produits d'épargne
Conseiller / Conseillère en assurance vie
Conseiller / Conseillère en assurances
Conseiller / Conseillère gestion sinistres
Conseiller / Conseillère Incendie, Accidents, Risques Divers
Conseiller / Conseillère mutualiste
Conseiller / Conseillère prévoyance santé
Conseiller commercial/Conseillère commerciale en assurances
Producteur / Productrice en assurances
Technico-commercial / Technico-commerciale en assurances
Téléconseiller / Téléconseillère en assurances","DÉFINITION
Informe et conseille des particuliers, des entreprises, ... en matière d'assurance de biens et de personnes (incendie, accidents, retraite, prévoyance, ...). Procède à la vente de produits et services selon la politique commerciale de l'établissement et la réglementation de l'assurance.
Peut réaliser le montage technique (projet de tarification, ...) et administratif des contrats.
Peut promouvoir des produits et services bancaires.
ACCÈS À L'EMPLOI MÉTIER


CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Analyser les besoins en assurance du client et l'informer sur les produits proposés
Développer un portefeuille de clients/prospects
Arrêter les termes du contrat d'assurance avec le client (montant des cotisations, type de garanties, ...), rassembler les justificatifs et transmettre pour décision
Mettre à jour le contrat d'assurance du client et renseigner les documents de suivi
Conseiller le client sur des produits/services d'assurance (caractéristiques, tarifs, garanties, ...) ou sur le suivi du contrat (renouvellement, échéances, ...)
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Courtage en assurances (C1103),"Agent général / Agente générale d'assurances
Courtier / Courtière en assurances","DÉFINITION
Accompagne une clientèle (particuliers, professionnels, entreprises, ...) dans le choix et le suivi de produits ou de services d'assurances (assurance Incendie, Accidents, Risques Divers -IARD-, assurance vie, ...), selon la réglementation et la stratégie commerciale de l'assurance.
Peut diriger une structure.
Peut coordonner une équipe.
ACCÈS À L'EMPLOI MÉTIER



CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Mettre en oeuvre des actions commerciales selon la stratégie du cabinet ou de la compagnie d'assurances
Evaluer les besoins et attentes du client (risque à couvrir, type de garantie, ...) et le conseiller sur le choix du contrat approprié (extension de garantie, nouveau contrat, ...)
Etablir une proposition de contrat (garanties, primes, ...) et informer le client sur les clauses spécifiques
Vérifier la conformité d'une déclaration de sinistre, évaluer le montant des pertes en matériels, locaux, chiffre d'affaires, ... et les responsabilités des parties
Actualiser les contrats selon l'évolution de la situation de la clientèle et mettre à jour les dossiers clients
Apporter un appui commercial et technique à des collaborateurs (traitement de dossiers complexes, litigieux, ...)
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Direction d'exploitation en assurances (C1104),"Chargé / Chargée d'agence en assurances
Chargé / Chargée de Bureau Direct
Chef de succursale en assurance
Chef de zone en assurance
Responsable d'agence en assurances
Responsable de bureau d'assurances
Responsable de délégation régionale en assurances
Responsable de secteur en assurances","DÉFINITION
Organise la planification de l'activité, la gestion administrative et le développement commercial d'une structure dans le domaine de l'assurance (agence, délégation départementale, ...), selon la politique commerciale de l'établissement et la réglementation de l'assurance.
Peut conseiller des clients et vendre des produits d'assurances.
Peut traiter les réclamations de clients.
ACCÈS À L'EMPLOI MÉTIER

CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Définir une stratégie commerciale
Définir/suivre les indicateurs d'activité de l'équipe et prendre les mesures correctives (réajustement des objectifs individuels, ...)
Contrôler les procédures et les délais de traitement des contrats, des sinistres et mettre en oeuvre les mesures d'ajustement
Réaliser une veille qualité des souscriptions (réglementation, rapport besoin/garantie, ...) et appliquer les mesures rectificatives
Développer un réseau de partenaires et suivre les informations sectorielles, règlementaires, techniques et celles des médias
Effectuer la gestion comptable et administrative d'une structure
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Études actuarielles en assurances (C1105),"Actuaire Confirmé / Sénior
Actuaire Junior
Chargé / Chargée d'études actuarielles en assurances","DÉFINITION
Evalue à court, moyen et long terme la rentabilité des produits d'assurances (santé, habitation, automobile, ...), des produits financiers (assurance vie, épargne, ...) en fonction de l'évolution de l'environnement (espérance de vie, mortalité, cours des marchés, ...) et selon la réglementation de l'assurance et la stratégie commerciale de l'entreprise.
Peut coordonner ou effectuer le contrôle de gestion d'actifs d'une structure.
Peut coordonner une équipe.
ACCÈS À L'EMPLOI MÉTIER



CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Proposer des axes d'amélioration de gestion (fusion/acquisition, achat / vente de valeurs mobilières, ...) à l'entreprise
Réaliser des études (techniques, financières, statistiques, ...) et calculer l’impact des risques financiers
Procéder à des modélisations et définir les conditions de rentabilité économique et financière des contrats.
Élaborer les règles et barèmes de tarification applicable à chaque catégorie de risques et proposer des tarifs pour les nouveaux produits.
Analyser les tarifs et la rentabilité des produits commercialisés et évaluer les tendances des risques par garantie et sinistre.
Établir l'inventaire périodique d'une partie ou de la globalité du portefeuille de contrats (produits d'épargne, produits d'assurances)
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Expertise risques en assurances (C1106),"Arbitre/Gestion de risque de crédit
Chargé / Chargée Prévention IARD
Contrôleur / Contrôleuse de sécurité des services prévention de la Sécurité Sociale
Expert / Experte en assurances dommages
Expert / Experte en assurances dommages et responsabilité civile
Expert / Experte risques en assurances
Expert évaluateur / Experte évaluatrice en assurances
Ingénieur / Ingénieure conseil risques en assurances
Responsable Prévention IARD","DÉFINITION
Enquête et évalue la valeur des biens avant ou après un sinistre (accident, vol, incendie, inondation, tempête, ...) en vue de l'estimation du risque ou du préjudice (dégâts occasionnés, coût des travaux, ...) et la détermination du montant des indemnités en conformité avec le contrat souscrit et selon la réglementation de l'assurance.
Peut être spécialisé dans un domaine (automobile, risques industriels, construction, ...).
Peut coordonner une équipe.
ACCÈS À L'EMPLOI MÉTIER


CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Identifier les secteurs (industries, grande distribution, ...) et les entreprises/collectivités à prospecter selon les études statistiques sur les sinistres, ...
Analyser la situation du client et cerner ses besoins en assurances
Répertorier les biens (bâtiments, machines, stocks, ...) et les installations (électriques, chauffage, ...) lors de visites/audit des sites
Recenser les moyens de protection/prévention des risques sur le site et contrôler l'application de la réglementation sécurité
Diagnostiquer la nature des risques et estimer le montant des pertes en cas de sinistre sur le site
Emettre des préconisations sur la prévention des risques et en assister la mise en oeuvre par l'assistance à la maîtrise d'oeuvre, visites de contrôle, ...
Rechercher les causes/origines d'accidents ou de sinistres par des enquêtes sur le terrain, auprès des parties concernées
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Indemnisations en assurances (C1107),"Chargé / Chargée d'indemnisations en assurances
Chargé / Chargée de sinistres en assurance
Expert / Experte en règlement de sinistres en assurances
Gestionnaire d'indemnisations en assurance
Responsable d'indemnisations en assurance","DÉFINITION
Propose une indemnisation aux parties concernées (victimes, assurés, ...) selon la réglementation de l'assurance et les garanties prévues dans les contrats souscrits.
Peut proposer des adaptations ou des évolutions de produits d'assurances au service marketing.
Peut coordonner une équipe.
ACCÈS À L'EMPLOI MÉTIER


CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Vérifier les garanties et les couvertures prévues dans les contrats d'assurances lors de déclaration de sinistre
Recueillir les preuves, témoignages et rapports de police auprès des parties impliquées dans le sinistre (victimes, témoins, services de secours, ...)
Analyser l'origine, la cause et les circonstances du sinistre et définir les responsabilités respectives des parties
Appliquer le barème des sinistres corporels selon le régime d'indemnisation des préjudices
Emettre une proposition d'indemnisation aux assurés, la réajuster si nécessaire et procéder au règlement
Établir un rapport de suivi du sinistre et transmettre les informations aux interlocuteurs concernés ( assurés, compagnie d'assurance…)
Mandater des experts pour l'évaluation de dommages/de pertes dans les domaines de l'automobile, le médical, l'artistique, ...
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Management de groupe et de service en assurances (C1108),"Responsable d'équipe production santé en assurances
Responsable d'équipe règlement sinistres en assurances
Responsable de groupe sinistre en assurances
Responsable de service production en assurances
Responsable de service souscription en assurances","DÉFINITION
Supervise et coordonne les activités d'un service/groupe/département spécialisé (production, sinistres, ...) selon les procédures qualité et la réglementation de l'assurance.
Peut établir des contrats de partenariat.
Peut animer des actions de formation interne.
ACCÈS À L'EMPLOI MÉTIER

CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Définir et mettre en oeuvre l'organisation des activités du service, du département
Définir et mettre en place les procédures de traitement des dossiers (délais, réglementation, ...)
Elaborer ou mettre à jour les outils de suivi qualitatif et quantitatif de l'activité
Prendre les mesures correctives selon l'évaluation de l'activité du service, groupe, département
Gérer les dossiers complexes (constatation de sinistres sur le terrain, évaluation de risques pour une souscription, ...)
Traiter les réclamations des clients (attributions de remise tarifaire, rappel de la réglementation, ...)
Apporter un appui technique, une expertise à des collaborateurs (gestionnaire de contrats, conseiller en assurances, ...)
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Rédaction et gestion en assurances (C1109),"Gestionnaire de prestations assurance maladie
Gestionnaire de prestations sociales
Gestionnaire en assurances
Gestionnaire liquidation retraite
Gestionnaire prestations en assurances
Gestionnaire santé en assurances
Gestionnaire sinistre Incendie, Accidents, Risques Divers
Rédacteur / Rédactrice d'assurances
Rédacteur / Rédactrice production auto
Rédacteur / Rédactrice production Incendie Risques Industriels (IRI)
Rédacteur / Rédactrice production risques de particuliers
Rédacteur / Rédactrice production Risques Divers (RD)
Rédacteur / Rédactrice production risques simples
Rédacteur / Rédactrice règlement matériel auto
Rédacteur / Rédactrice sinistre auto
Rédacteur / Rédactrice sinistre incendie
Rédacteur / Rédactrice sinistres
Rédacteur / Rédactrice sinistres contentieux
Rédacteur / Rédactrice sinistres risques divers
Rédacteur polyvalent / Rédactrice polyvalente production sinistres","DÉFINITION
Réalise la rédaction et la gestion (souscription, codification, ...) de contrats d'assurances (risques automobiles, industriels, habitation,...) par référence à des contrats préétablis ou par adaptation de clauses-types, selon la règlementation de l'assurance.
Peut réaliser les appels de cotisations et contrôler leur encaissement.
ACCÈS À L'EMPLOI MÉTIER


CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Etablir les contrats d'assurances ou les avenants en fonction des risques à couvrir, des évènements survenus (accident responsable, ...) et transmettre pour acceptation
Informer le client sur la prise en charge de son dossier et le conseiller dans ses démarches d'expertise, de dépôt de plainte, ...
Enregistrer les informations (souscription, déclaration de sinistre, ...) dans le fichier de l'assuré/tiers et lui transmettre les documents contractuels ou justificatifs
Demander des informations complémentaires (attestations de soins, bulletins de salaire,...) ou des mesures conservatrices (expertise, questionnaire de santé, ...)
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
Souscription d'assurances (C1110),"Chargé / Chargée de comptes Incendie Accidents Risques Divers
Chargé / chargée souscription auto
Chargé / chargée souscription IRDS
Chargé / chargée souscription santé
Chargé / chargée souscription vie
Gestionnaire Souscripteur / Gestionnaire Souscriptrice
Responsable de souscription en assurances
Souscripteur / Souscriptrice assurance collective
Souscripteur / Souscriptrice en assurances
Souscripteur / Souscriptrice IARD
Souscripteur / Souscriptrice responsabilité civile en assurances
Souscripteur / Souscriptrice vie collective en assurances
Souscripteur / Souscriptrice vie en assurances
Souscripteur-autorisateur / Souscriptrice-autorisatrice en assurances","DÉFINITION
Définit et met en place les règles de souscription et les niveaux de tarification de produits d'assurances (assurance de personnes, de biens industriels, ...), selon les impératifs commerciaux de la société d'assurance et la réglementation de l'assurance.
Réalise le suivi d'un portefeuille de produits d'assurances et l'analyse de résultats.
Peut proposer des couvertures de réassurance (facultative et/ou obligatoire).
Peut coordonner une équipe.
ACCÈS À L'EMPLOI MÉTIER




CONDITIONS D'EXERCICE DE L'ACTIVITÉ","COMPÉTENCES DE BASE
SAVOIR FAIRE
Evaluer les facteurs de risques, le niveau de sinistrabilité de l'environnement du client et comparer les garanties souscrites
Définir les modalités de souscription, élaborer un projet de contrat et le soumettre au client ou à l'intermédiaire
Intervenir en appui technique aux collaborateurs (conseillers en assurances, ...) lors de la négociation des contrats
Analyser les évolutions des contrats, les risques couverts, les niveaux d'indemnisation, la rentabilité des produits d'assurances et ajuster la tarification
Elaborer les documents d'information à destination des clients et/ou des collaborateurs
Analyser la situation du client et cerner ses besoins en assurances
SAVOIR
COMPÉTENCES SPÉCIFIQUES"
